"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2419307";"";"None";"357.31";"0";"3.31";"2f";"CC1(F)OC(=O)C(c2ccc(F)cc2)=C1c1ccc2c(c1)NC(=O)CO2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2423841";"Displacement of [3H]-Dexamethasone human GR expressed in 293 cells after 16 hrs by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417412";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3307715";"";"";"";"10000.0"
"CHEMBL42710";"EUGENOL";"0.5";"164.20";"0";"2.13";"EUGENOL";"C=CCc1ccc(O)c(OC)c1";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909150";"DRUGMATRIX: Glucocorticoid radioligand binding (ligand: [3H] Dexamethasone)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa S3";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3886002";"";"";"Not Active";""
"CHEMBL5885976";"";"None";"493.92";"0";"4.92";"BDBM381617";"CC(=O)N1CCC(Cn2nc(C)c3c(Cl)c(C(=O)Nc4ccc(C(F)(F)F)cc4)cnc32)CC1";"IC50";"'<'";"50.0";"nM";"";"";"762855";"UO_0000065";"";"";"";"";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"50.0"
"CHEMBL5797828";"";"None";"420.90";"0";"4.61";"BDBM381520";"Cc1nn(Cc2ccncn2)c2ncc(C(=O)Nc3ccc(C(C)C)cc3)c(Cl)c12";"IC50";"'='";"275.0";"nM";"6.56";"";"762758";"UO_0000065";"15.59";"0.30";"1.95";"7.67";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"275.0"
"CHEMBL5905390";"";"None";"435.79";"0";"4.70";"BDBM381536";"Cc1nn(Cc2ncco2)c2ncc(C(=O)Nc3ccc(C(F)(F)F)cc3)c(Cl)c12";"IC50";"'<'";"50.0";"nM";"";"";"762774";"UO_0000065";"";"";"";"";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"50.0"
"CHEMBL5862032";"";"None";"493.92";"1";"5.00";"BDBM381497";"CC(=O)N1CCC(CCn2cnc3c(Cl)c(C(=O)Nc4ccc(C(F)(F)F)cc4)cnc32)CC1";"IC50";"'='";"2750.0";"nM";"5.56";"";"762735";"UO_0000065";"11.26";"0.22";"0.56";"6.94";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"2750.0"
"CHEMBL5806923";"";"None";"439.32";"0";"3.74";"BDBM381395";"O=C(Nc1ccc(Cl)cc1)c1cnc2c(cnn2C2CCS(=O)(=O)CC2)c1Cl";"IC50";"'='";"275.0";"nM";"6.56";"";"762633";"UO_0000065";"14.93";"0.32";"2.82";"6.98";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"275.0"
"CHEMBL5877702";"";"None";"412.28";"0";"4.74";"BDBM381401";"Cc1nn(Cc2cccnc2)c2ncc(C(=O)Nc3ccc(Cl)cc3)c(Cl)c12";"IC50";"'='";"275.0";"nM";"6.56";"";"762639";"UO_0000065";"15.91";"0.32";"1.82";"9.02";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"275.0"
"CHEMBL5791269";"";"None";"405.89";"0";"4.90";"BDBM381448";"CC(C)c1ccc(NC(=O)c2cnc3c(cnn3Cc3ccncc3)c2Cl)cc1";"IC50";"'<'";"50.0";"nM";"";"";"762686";"UO_0000065";"";"";"";"";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"50.0"
"CHEMBL5977776";"";"None";"405.89";"0";"4.90";"BDBM381451";"CC(C)c1ccc(NC(=O)c2cnc3c(cnn3Cc3cccnc3)c2Cl)cc1";"IC50";"'<'";"50.0";"nM";"";"";"762689";"UO_0000065";"";"";"";"";"0";"CHEMBL5733596";"Biological Evaluation: The assay was performed using H4 neuroglioma cells and using indirect immunofluorescence detection of the endogenous GR receptor. Fixative: 4% PFA. Permeabilization buffer: 0.3% Triton X-100 in PBS. Primary antibody: 1:200 in 5% BSA block. Secondary antibody: 1:800 in 5% BSA block. HCS Cell Mask: 1:6000 in PBS. DAPI: 100 ng/ml.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726874";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"50.0"
